,Unnamed: 0,Time,U_mpers,Time.1,V_mpers,date
0,0,0,4.874173000000001,0,5.0767574,2006-11-23
1,1,1,2.8017936000000003,1,6.1881857,2006-11-23
2,2,2,1.2268139999999998,2,6.795234700000001,2006-11-23
3,3,3,-0.568862,3,8.326158,2006-11-23
4,4,4,-2.3809127999999995,4,8.640216,2006-11-23
5,5,5,-1.1494145,5,11.667357,2006-11-23
6,6,6,-1.3742627,6,12.493726,2006-11-23
7,7,7,-5.249914,7,12.7731285,2006-11-23
8,8,8,-4.1610036,8,13.3876705,2006-11-23
9,9,9,-4.245221,9,13.180326,2006-11-23
10,10,10,-6.913953,10,13.345743,2006-11-23
11,11,11,-7.497311,11,13.357184,2006-11-23
12,12,12,-6.3533607000000005,12,14.932274,2006-11-23
13,13,13,-2.833353,13,18.245520000000006,2006-11-23
14,14,14,11.683666,14,12.128904,2006-11-23
15,15,15,13.361328,15,9.514611,2006-11-23
16,16,16,12.833557,16,9.706129,2006-11-23
17,17,17,14.002544,17,9.501001,2006-11-23
18,18,18,14.139645000000002,18,10.677861,2006-11-23
19,19,19,12.639853,19,7.6320770000000016,2006-11-23
20,20,20,8.473196000000002,20,7.856967999999998,2006-11-23
21,21,21,11.097927,21,10.616413,2006-11-23
22,22,22,10.247959,22,9.212112,2006-11-23
23,23,23,9.669572,23,9.453577,2006-11-23
0,0,0,-4.3996629999999985,0,12.630774,2006-05-22
1,1,1,-6.440898000000002,1,13.28863,2006-05-22
2,2,2,-5.105676,2,14.535612,2006-05-22
3,3,3,2.9223013,3,11.463053,2006-05-22
4,4,4,5.296355200000002,4,13.81414,2006-05-22
5,5,5,7.526231,5,12.236362,2006-05-22
6,6,6,5.0400133,6,12.403198,2006-05-22
7,7,7,7.644309,7,11.948034,2006-05-22
8,8,8,6.101801999999998,8,10.223139,2006-05-22
9,9,9,5.448105,9,10.486576,2006-05-22
10,10,10,4.0132294,10,11.575287,2006-05-22
11,11,11,3.328663,11,12.68993,2006-05-22
12,12,12,4.09762,12,12.201384,2006-05-22
13,13,13,4.0921650000000005,13,12.394214,2006-05-22
14,14,14,4.735082,14,12.452471,2006-05-22
15,15,15,-0.08941996,15,10.160372,2006-05-22
16,16,16,1.4056084,16,12.217549,2006-05-22
17,17,17,0.9134927,17,11.955171,2006-05-22
18,18,18,0.65009356,18,11.209579,2006-05-22
19,19,19,0.35826778,19,12.909107,2006-05-22
20,20,20,-0.75731874,20,13.065474,2006-05-22
21,21,21,0.049039487,21,12.617196,2006-05-22
22,22,22,2.8271537,22,12.624081,2006-05-22
23,23,23,4.652207,23,11.069439,2006-05-22
0,0,0,-5.2030406,0,-5.4851,2006-02-20
1,1,1,-4.650421,1,-5.754533,2006-02-20
2,2,2,-4.678743,2,-6.3029366,2006-02-20
3,3,3,-5.5431414000000006,3,-5.213086,2006-02-20
4,4,4,-5.09617,4,-5.372966,2006-02-20
5,5,5,-5.206169999999998,5,-5.3649879999999985,2006-02-20
6,6,6,-5.000617,6,-4.860631,2006-02-20
7,7,7,-4.389767,7,-5.8576717,2006-02-20
8,8,8,-4.8328333,8,-6.3779407,2006-02-20
9,9,9,-5.1681027,9,-5.538635299999998,2006-02-20
10,10,10,-4.088956,10,-6.322731,2006-02-20
11,11,11,-5.1128454,11,-6.441658,2006-02-20
12,12,12,-5.7926493,12,-6.7702149999999985,2006-02-20
13,13,13,-5.465937599999998,13,-6.569681,2006-02-20
14,14,14,-5.3161497,14,-6.690053,2006-02-20
15,15,15,-5.89201,15,-6.710971400000001,2006-02-20
16,16,16,-6.150779,16,-5.9648733,2006-02-20
17,17,17,-5.8758955,17,-5.7944393,2006-02-20
18,18,18,-6.897822,18,-7.382137299999999,2006-02-20
19,19,19,-6.69765,19,-6.256667,2006-02-20
20,20,20,-6.7231684000000005,20,-5.9171915,2006-02-20
21,21,21,-6.789534599999999,21,-5.3141336,2006-02-20
22,22,22,-6.808960000000001,22,-5.281341599999998,2006-02-20
23,23,23,-6.883977000000002,23,-4.479314,2006-02-20
0,0,0,8.394243,0,0.33272234,2006-09-01
1,1,1,7.2192235,1,0.7586586,2006-09-01
2,2,2,7.0704784,2,0.05875628400000001,2006-09-01
3,3,3,6.658912700000001,3,1.1825361,2006-09-01
4,4,4,5.77789,4,2.7618916,2006-09-01
5,5,5,5.8274775000000005,5,2.7833838,2006-09-01
6,6,6,5.1369987,6,4.483125,2006-09-01
7,7,7,6.458257,7,5.0344114,2006-09-01
8,8,8,9.38002,8,4.419136,2006-09-01
9,9,9,11.169236,9,2.1525688,2006-09-01
10,10,10,11.770272,10,3.4066918,2006-09-01
11,11,11,11.542056,11,4.336603,2006-09-01
12,12,12,8.134758,12,4.7641535,2006-09-01
13,13,13,8.55194,13,4.6445084,2006-09-01
14,14,14,11.728552,14,3.7964807,2006-09-01
15,15,15,8.9818735,15,6.0628834000000005,2006-09-01
16,16,16,9.494512,16,4.6170864,2006-09-01
17,17,17,8.899855,17,4.6606197,2006-09-01
18,18,18,11.310965,18,4.0988884,2006-09-01
19,19,19,9.630945,19,4.5932746,2006-09-01
20,20,20,10.03743,20,4.3479147000000005,2006-09-01
21,21,21,9.01226,21,4.7230797,2006-09-01
22,22,22,8.19319,22,5.215813,2006-09-01
23,23,23,8.121442,23,4.594009,2006-09-01
0,0,0,2.946549,0,0.29222858,2006-12-29
1,1,1,4.058599,1,1.2842586,2006-12-29
2,2,2,4.1343255,2,1.7687235,2006-12-29
3,3,3,5.0201054,3,2.7480254,2006-12-29
4,4,4,5.1170683,4,3.5732136,2006-12-29
5,5,5,4.7518205999999985,5,4.495584,2006-12-29
6,6,6,4.0310917,6,5.5262103,2006-12-29
7,7,7,2.586853,7,7.176838,2006-12-29
8,8,8,2.9037695,8,8.200108,2006-12-29
9,9,9,2.7460852000000004,9,9.257843,2006-12-29
10,10,10,2.2637687,10,10.813216,2006-12-29
11,11,11,6.424362,11,11.784754,2006-12-29
12,12,12,1.8918724,12,11.832644,2006-12-29
13,13,13,3.3958836000000003,13,11.558928,2006-12-29
14,14,14,2.0452356,14,12.445393,2006-12-29
15,15,15,3.9746041,15,13.691859,2006-12-29
16,16,16,1.1439754999999998,16,14.170942000000002,2006-12-29
17,17,17,1.4637715,17,15.446695000000002,2006-12-29
18,18,18,1.5824373,18,16.522651999999994,2006-12-29
19,19,19,2.8366094,19,15.675922,2006-12-29
20,20,20,3.2420568,20,15.158199,2006-12-29
21,21,21,3.1350496,21,14.944359,2006-12-29
22,22,22,3.4103692000000003,22,14.323970999999998,2006-12-29
23,23,23,4.3544493,23,14.438173,2006-12-29
0,0,0,1.8121264,0,3.9711297,2006-07-17
1,1,1,1.6509078,1,4.6531305,2006-07-17
2,2,2,2.1515424,2,4.9981556,2006-07-17
3,3,3,2.7417693,3,5.550984400000001,2006-07-17
4,4,4,3.7381408,4,5.537899,2006-07-17
5,5,5,4.596117,5,5.4838595,2006-07-17
6,6,6,4.8879895,6,4.7650489999999985,2006-07-17
7,7,7,5.2163086,7,4.322574,2006-07-17
8,8,8,5.553683,8,3.9481537,2006-07-17
9,9,9,6.032374400000001,9,3.0125465,2006-07-17
10,10,10,6.2025957,10,2.2076168,2006-07-17
11,11,11,6.030460400000001,11,2.044146,2006-07-17
12,12,12,5.9734620000000005,12,2.3035853,2006-07-17
13,13,13,5.8387585,13,2.3490207,2006-07-17
14,14,14,6.1674066,14,2.093306,2006-07-17
15,15,15,6.613939299999998,15,1.791734,2006-07-17
16,16,16,6.599445299999998,16,1.305743,2006-07-17
17,17,17,7.1667156,17,-0.45569795,2006-07-17
18,18,18,7.363288000000002,18,-1.6006376,2006-07-17
19,19,19,6.7156850000000015,19,-2.1447625,2006-07-17
20,20,20,6.409165,20,-2.81203,2006-07-17
21,21,21,5.318144,21,-2.888041,2006-07-17
22,22,22,4.8347445,22,-3.0075336,2006-07-17
23,23,23,5.2635755999999985,23,-3.3292336,2006-07-17
0,0,0,-4.3855010000000005,0,0.013216121,2006-07-01
1,1,1,-3.571668100000001,1,1.599781,2006-07-01
2,2,2,-1.8552294,2,2.9329863,2006-07-01
3,3,3,-1.4343202,3,3.513091,2006-07-01
4,4,4,0.050941452000000005,4,4.669669,2006-07-01
5,5,5,0.017331462,5,3.8400798,2006-07-01
6,6,6,-0.5616943,6,3.1430583,2006-07-01
7,7,7,-1.8333812,7,2.2393490000000003,2006-07-01
8,8,8,-1.886184,8,2.8554357999999995,2006-07-01
9,9,9,-1.5968306,9,5.0567985,2006-07-01
10,10,10,-2.2253635,10,5.916746,2006-07-01
11,11,11,-1.6197776000000002,11,5.696477,2006-07-01
12,12,12,-1.3490207,12,5.6123486,2006-07-01
13,13,13,-0.9712589,13,5.639081,2006-07-01
14,14,14,-0.34741586,14,5.2031230000000015,2006-07-01
15,15,15,0.09439873,15,4.612665,2006-07-01
16,16,16,0.115695566,16,4.3477682999999985,2006-07-01
17,17,17,-0.05489235,17,3.3933148,2006-07-01
18,18,18,-1.0742431,18,2.9757695,2006-07-01
19,19,19,-2.3838353,19,1.2400322,2006-07-01
20,20,20,-4.527112000000002,20,0.8557606,2006-07-01
21,21,21,-5.967023,21,1.1502714,2006-07-01
22,22,22,-6.8405476,22,2.424803,2006-07-01
23,23,23,-6.6348147,23,2.5835586,2006-07-01
0,0,0,-10.564603,0,5.1581,2006-09-17
1,1,1,-10.632955,1,4.920026,2006-09-17
2,2,2,-10.774038,2,5.032173,2006-09-17
