,Time,U_mpers,V_mpers,date,ws_mpers_D2A1,ws_dir_degree_D2A1,dirn_D2A1
5472,0,-8.378473,-0.44399083,2006-01-01,8.390228701820535,273.03337241337846,East
5473,1,-8.456835,0.5083513,2006-01-01,8.472100050249448,266.5600158432657,East
5474,2,-8.164132,0.19785914,2006-01-01,8.166529223158731,268.61169871214724,East
5475,3,-8.016344,0.4263689000000001,2006-01-01,8.02767472966009,266.95545231049425,East
5476,4,-7.7678447,0.3503151,2006-01-01,7.775739961740368,267.4178183741721,East
5477,5,-6.5634246,0.8206165999999999,2006-01-01,6.614525990884058,262.87336323643945,East
5478,6,-6.6395445,0.4180348,2006-01-01,6.6526915050595345,266.39733484138605,East
5479,7,-6.137580000000002,0.4088851,2006-01-01,6.151184868088588,266.1885916034078,East
5480,8,-6.5088277,-0.86083305,2006-01-01,6.565506192842985,277.53399964089476,East
5481,9,-5.0285654000000015,-1.8345306,2006-01-01,5.352753730970027,290.0430750603722,East
5482,10,-4.4646864,-1.7438648,2006-01-01,4.793171089271068,291.3351521262156,East
5483,11,-5.2263207000000005,-2.1347458,2006-01-01,5.645490916640123,292.2180774726211,East
5484,12,-4.6464887,-1.964054,2006-01-01,5.044538170550768,292.91360508433377,North_East
5485,13,-4.759968,-3.4834075,2006-01-01,5.898425482455488,306.1971589738332,North_East
5486,14,-4.0160160000000005,-5.5433044,2006-01-01,6.845188688656827,324.0774027017874,North_East
5487,15,-3.595358,-5.3433480000000015,2006-01-01,6.440339043658184,326.06472494361765,North_East
5488,16,-3.635010700000001,-4.558621400000002,2006-01-01,5.830465835390211,321.4314030591603,North_East
5489,17,-4.849973,-4.6866913,2006-01-01,6.744428325827526,314.0191079405841,North_East
5490,18,-4.0464463,-4.3803480000000015,2006-01-01,5.963319231760757,317.2690900779587,North_East
5491,19,-3.1028354,-6.2223760000000015,2006-01-01,6.953096476021973,333.4965105985836,North_East
5492,20,-3.4277787,-4.9655414,2006-01-01,6.03376070218961,325.3821697417634,North_East
5493,21,-3.1064045,-4.723471,2006-01-01,5.653399614874332,326.6689634547955,North_East
5494,22,-2.704309,-5.7505455,2006-01-01,6.35468808951716,334.8138061898243,North_East
5495,23,-2.1829357000000003,-5.096181400000001,2006-01-01,5.544030405042928,336.8122578310643,North_East
3816,0,-1.6077895,-5.173046,2006-01-02,5.417138727633459,342.73468664080633,North
3817,1,-1.4902753,-4.911522,2006-01-02,5.132637609092823,343.12092585946107,North
3818,2,-1.0875535,-4.9469905,2006-01-02,5.065124640366958,347.6012473414628,North
3819,3,-0.1825574,-4.508662,2006-01-02,4.512356394893777,357.6813391654559,North
3820,4,0.61647,-3.4845824,2006-01-02,3.5386932281973467,10.032593777247712,North
3821,5,0.8243094000000001,-2.3173943,2006-01-02,2.4596345924955703,19.580741518287866,North
3822,6,-0.056796033,-2.382076,2006-01-02,2.382753000027602,358.63415082619576,North
3823,7,0.38149738,-3.018663,2006-01-02,3.0426742445611663,7.202831471158589,North
3824,8,1.2228806,-4.9268866,2006-01-02,5.076381440663804,13.939436198885659,North
3825,9,1.7687953999999997,-5.5219927,2006-01-02,5.798365333946668,17.761214123731477,North
3826,10,1.7095101,-5.3633995,2006-01-02,5.629252079859478,17.678968302307098,North
3827,11,1.9174421,-5.4983816,2006-01-02,5.823124970844346,19.22511683002959,North
3828,12,2.4742713,-5.015907299999999,2006-01-02,5.592972779139639,26.25642738384054,North_West
