,Time,U_mpers,V_mpers,date,ws_mpers_D1A1,ws_dir_degree_D1A1,dirn_D1A1
5424,0,-7.225962599999999,0.35597733,2006-01-01,7.2347256586599515,267.1796805507619,East
5425,1,-7.6768990000000015,-0.0017487267,2006-01-01,7.676899199171896,270.0130514492504,East
5426,2,-8.2298565,0.25657186,2006-01-01,8.233854937387234,268.21434008025665,East
5427,3,-8.201134,0.31813496,2006-01-01,8.207302159585097,267.77851992297303,East
5428,4,-7.932849000000001,0.25551966,2006-01-01,7.936963119068119,268.1551220555981,East
5429,5,-6.8840613,0.67799795,2006-01-01,6.917368083481021,264.37518883263556,East
5430,6,-6.5297837,0.394,2006-01-01,6.541659664701742,266.5470218430927,East
5431,7,-6.4383154000000005,0.26929978,2006-01-01,6.443945030909654,267.60484678017406,East
5432,8,-6.2620935,-0.7686158000000001,2006-01-01,6.309087513321708,276.9975428379113,East
5433,9,-5.32621,-1.4421794,2006-01-01,5.5180063778401305,285.1507024612859,East
5434,10,-4.503483,-1.3941457,2006-01-01,4.714339971206732,287.20098497540323,East
5435,11,-5.0923195,-1.9221623,2006-01-01,5.443016240800825,290.6796671647986,East
5436,12,-4.7346916,-1.9427233,2006-01-01,5.117761069791501,292.3091644635675,East
5437,13,-4.839069,-3.5121913,2006-01-01,5.979304015899902,305.97210631839516,North_East
5438,14,-3.970156,-5.4655085,2006-01-01,6.755288434101704,324.0052723289516,North_East
5439,15,-3.3956943,-5.58322,2006-01-01,6.534759777333249,328.6921836105711,North_East
5440,16,-3.645490600000001,-4.5864153,2006-01-01,5.858737664272267,321.52073238473866,North_East
5441,17,-5.007450599999999,-4.697221,2006-01-01,6.865744434093171,313.16904718189306,North_East
5442,18,-4.100975,-4.2287683,2006-01-01,5.890711101871308,315.87895173885124,North_East
5443,19,-3.9890761,-6.251316,2006-01-01,7.4156375223878905,327.45732722630146,North_East
5444,20,-3.430761,-4.9873233,2006-01-01,6.053388698724367,325.4760631617023,North_East
5445,21,-3.1936803,-4.8258410000000005,2006-01-01,5.786910679791861,326.5039149329282,North_East
5446,22,-2.8122454,-5.737238,2006-01-01,6.389415001270865,333.887103269588,North_East
5447,23,-2.1823506,-5.0927525000000005,2006-01-01,5.54064817215248,336.80385807620155,North_East
3840,0,-1.6333575,-5.070089,2006-01-02,5.326693082084536,342.14336477513234,North
3841,1,-1.4801824,-4.8831453,2006-01-02,5.102553082348272,343.1368578246858,North
3842,2,-1.0718327,-4.948647,2006-01-02,5.063391399783182,347.7790150820486,North
3843,3,-0.18286975,-4.5010495000000015,2006-01-02,4.5047628069539165,357.6734524743266,North
3844,4,0.6249212,-3.4546466,2006-01-02,3.5107135509894563,10.253522390947907,North
3845,5,0.834404,-2.3199487000000003,2006-01-02,2.4654395157552926,19.781874972888588,North
3846,6,-0.07035753,-2.3952136000000004,2006-01-02,2.3962467259555438,358.31746500789177,North
3847,7,0.3973181,-3.1500955000000004,2006-01-02,3.1750532801368645,7.18869393781695,North
3848,8,1.2605326,-4.856529,2006-01-02,5.017451181975143,14.550289593506307,North
3849,9,1.7075269,-5.530776,2006-01-02,5.7883617091885,17.157125021639487,North
3850,10,1.5983951,-5.4394035,2006-01-02,5.669389502540486,16.375681008733423,North
3851,11,2.2323415,-5.4315734,2006-01-02,5.872421831936958,22.342344982784795,North
3852,12,2.3947067000000004,-5.009943,2006-01-02,5.552850533039215,25.547370866695687,North_West
3853,13,2.8645942000000004,-4.5524154,2006-01-02,5.378697417110467,32.18003610976584,North_West
3854,14,2.8474658,-5.2685676,2006-01-02,5.988811738395138,28.389580714486172,North_West
3855,15,3.2874641,-5.0954385,2006-01-02,6.06390251538323,32.8292120797706,North_West
3856,16,2.616121,-4.0770574,2006-01-02,4.844221932316454,32.68702780768655,North_West
3857,17,3.1054714,-3.9251332,2006-01-02,5.005059765273558,38.350201267496125,North_West
3858,18,3.2824178,-3.3822562999999994,2006-01-02,4.713164997392573,44.14175895786786,North_West
3859,19,3.7075615,-3.3668993,2006-01-02,5.008195600475559,47.75688018833262,North_West
3860,20,3.289297,-3.0407314,2006-01-02,4.479455569726633,47.24871764277635,North_West
3861,21,2.4197330000000004,-2.4716628,2006-01-02,3.458934053750207,44.39173873581128,North_West
3862,22,3.2891712,-1.620383,2006-01-02,3.666645367307621,63.77321865237222,West
3863,23,2.8198388,-1.6482761,2006-01-02,3.266237125472774,59.69249768154214,West
1152,0,2.2983048,-1.1659243,2006-01-03,2.5771271654758383,63.10143296079334,West
1153,1,1.5214746,0.4200706,2006-01-03,1.5783992737674204,105.43453020968666,West
1154,2,3.1214616000000004,1.2171956,2006-01-03,3.3503861939982267,111.30300461546838,West
1155,3,3.1089811000000003,2.2327995,2006-01-03,3.8276829920145503,125.68504761089295,South_West
1156,4,3.3796859,2.532798,2006-01-03,4.223427812981159,126.84855614584481,South_West
1157,5,2.989235,2.4567246,2006-01-03,3.86924044813322,129.415325019046,South_West
1158,6,3.553566200000001,3.707974,2006-01-03,5.135845005688786,136.21814133215338,South_West
1159,7,3.4965014,4.395209,2006-01-03,5.616349721472387,141.4968519632814,South_West
1160,8,3.6200764,4.446307,2006-01-03,5.733637508605332,140.84834632884815,South_West
1161,9,4.1025867,4.4618387,2006-01-03,6.061288824650627,137.4019782417824,South_West
1162,10,2.4997919,5.810955,2006-01-03,6.325832558274888,156.7232983454743,South_West
1163,11,4.8873973,5.395329,2006-01-03,7.279850780496005,137.82791803440506,South_West
1164,12,3.5337657999999994,4.7846227,2006-01-03,5.948118619412774,143.5516376733604,South_West
1165,13,2.9595623,5.4740133,2006-01-03,6.222847468495285,151.6018275872539,South_West
1166,14,2.788806,5.5011044,2006-01-03,6.16762422050301,153.11709566453598,South_West
1167,15,3.0146040000000003,4.9504824,2006-01-03,5.796129162598584,148.66060965725964,South_West
1168,16,3.0920822999999995,4.5248613,2006-01-03,5.480450960843549,145.65309341532443,South_West
1169,17,2.824859,3.9491975,2006-01-03,4.855511225801795,144.42387850513904,South_West
1170,18,2.7203467,3.0126529,2006-01-03,4.059108727797187,137.91878990644517,South_West
1171,19,2.9334064,2.3736773,2006-01-03,3.7734887083567976,128.9793692777385,South_West
1172,20,1.4066784,2.5047708,2006-01-03,2.872737523958498,150.68144879800244,South_West
1173,21,-0.20530023,2.408847,2006-01-03,2.4175797926536062,184.87140920896522,South
1174,22,-0.82699734,2.1672664,2006-01-03,2.319691412437446,200.88612703779637,South
1175,23,-1.8602779,2.3346283,2006-01-03,2.9851504425052515,218.54852853814717,South_East
4824,0,-2.6640172000000004,1.9844468,2006-01-04,3.321899568609214,233.31729203672273,South_East
4825,1,-3.99715,1.1207397,2006-01-04,4.1512968573273685,254.33731638369875,East
4826,2,-3.003703,1.2687082,2006-01-04,3.2606521140649516,247.10170971989612,East
4827,3,-3.3054337999999994,2.3870158,2006-01-04,4.0772217300058715,234.16510332361665,South_East
4828,4,-4.399893799999999,1.9462783,2006-01-04,4.811139643819261,246.13795776621197,East
4829,5,-4.277815299999999,2.7412806,2006-01-04,5.080779769764721,237.34771428410383,South_East
4830,6,-3.8880029,2.1687392999999995,2006-01-04,4.451965487486723,240.8470950650723,South_East
4831,7,-3.7141929,1.6159165,2006-01-04,4.050483308616721,246.48781308566464,East
4832,8,-4.980331400000002,1.8712671000000003,2006-01-04,5.320276441442529,249.40722187092982,East
4833,9,-6.0248675,0.63580465,2006-01-04,6.0583228657375034,263.97586948679725,East
4834,10,-6.201003,-0.5625646,2006-01-04,6.226469074458024,275.18377146727846,East
4835,11,-4.452453599999999,0.23534867,2006-01-04,4.458669314562779,266.97426425405433,East
4836,12,-6.3470830000000005,-0.4020683,2006-01-04,6.359805148489527,273.62466921107836,East
4837,13,-6.1769266,-0.2137589,2006-01-04,6.180624166628866,271.98198845542714,East
4838,14,-5.995856,0.2075369,2006-01-04,5.999446702621635,268.01759030535027,East
4839,15,-6.4877315000000015,0.9960613,2006-01-04,6.563748786284402,261.2715350426273,East
4840,16,-7.109298,1.4396818,2006-01-04,7.253606119583227,258.55202473645426,East
4841,17,-7.6041937000000015,1.5997436,2006-01-04,7.770646138697906,258.1195621248188,East
4842,18,-7.473053,1.2884998,2006-01-04,7.583320702397403,260.21727737559,East
4843,19,-7.518453999999998,1.7540675,2006-01-04,7.720356426012482,256.8677009123099,East
4844,20,-7.509962,2.189187,2006-01-04,7.822535967473272,253.74836372719722,East
4845,21,-7.944419,2.0960913,2006-01-04,8.216288212173225,255.21965142394876,East
4846,22,-8.256884,2.3145232000000004,2006-01-04,8.575147289276973,254.34105255104276,East
4847,23,-8.200199000000001,2.927925,2006-01-04,8.707238853116758,250.35062221345547,East
8592,0,-8.029032,3.0685837000000005,2006-01-05,8.595438370492205,249.08384327924492,East
8593,1,-8.382862,2.6440797000000003,2006-01-05,8.789967734354665,252.4939483364317,East
8594,2,-9.768381,3.1327548,2006-01-05,10.25843165391689,252.2187679822784,East
8595,3,-10.699455,2.3683933999999995,2006-01-05,10.958449917492372,257.5184715614238,East
8596,4,-11.734875,4.621969,2006-01-05,12.612291175777145,248.50220295045634,East
8597,5,-11.11434,2.1406145,2006-01-05,11.318603450656369,259.0983598175211,East
8598,6,-11.75152,3.5468702000000003,2006-01-05,12.275117536139849,253.20501745074773,East
8599,7,-11.352913,3.5389457,2006-01-05,11.891710148381414,252.68662703490236,East
8600,8,-11.404085,4.9891834,2006-01-05,12.447694794059684,246.37105994139506,East
8601,9,-10.914669,4.500025,2006-01-05,11.805940215848377,247.59406344900844,East
8602,10,-11.604539,4.7210526,2006-01-05,12.528114904265836,247.86212664798344,East
8603,11,-11.688373,4.8243895,2006-01-05,12.64487237716693,247.57155581765505,East
8604,12,-11.617208,4.6225863,2006-01-05,12.503112645106086,248.30196814943238,East
8605,13,-11.632069,4.8615336,2006-01-05,12.607122517239608,247.31788705645786,East
8606,14,-11.805468,4.8415203,2006-01-05,12.759678425193014,247.70105934932857,East
8607,15,-11.836581,4.6133776,2006-01-05,12.70385385029845,248.70635552711707,East
8608,16,-12.038208,4.7788525,2006-01-05,12.952060958319345,248.34822192345672,East
8609,17,-12.006939,4.7475185,2006-01-05,12.911449030126837,248.42626160224486,East
8610,18,-12.620962,4.821557,2006-01-05,13.510591908191625,249.09175846612226,East
8611,19,-12.665764,4.774845,2006-01-05,13.53590493752527,249.34414336794623,East
8612,20,-12.0280285,4.6705008,2006-01-05,12.902985984632119,248.77873697583334,East
8613,21,-11.709185,4.9217405,2006-01-05,12.701517346898568,247.20144568185228,East
8614,22,-12.462969,4.862501,2006-01-05,13.377948731773566,248.68646318310374,East
8615,23,-12.715565,5.084289599999999,2006-01-05,13.694363585281835,248.2061127479873,East
456,0,-13.150686,5.223076,2006-01-06,14.14994929928627,248.3384408275277,East
457,1,-12.692992,5.9829245,2006-01-06,14.03237084333094,244.76284855811593,East
458,2,-12.059086,5.7749376,2006-01-06,13.370544470562514,244.41085292378517,East
459,3,-12.097614,6.124808,2006-01-06,13.559702708019081,243.14771301232463,East
460,4,-11.822426,6.171172,2006-01-06,13.336158381597752,242.4359528353238,South_East
461,5,-11.083918,6.387107,2006-01-06,12.792512421732214,240.0473060123591,South_East
462,6,-11.872143,5.083026,2006-01-06,12.914524099986224,246.8219424858428,East
463,7,-11.318735,5.2914047,2006-01-06,12.49450782141526,244.9443428330997,East
464,8,-10.242476,5.7330694000000015,2006-01-06,11.737819190794871,240.7627459415754,South_East
465,9,-9.686371,6.375113,2006-01-06,11.5960272900856,236.64897113452741,South_East
466,10,-10.099653,6.215987,2006-01-06,11.859236278301314,238.38914052820482,South_East
467,11,-9.705778,6.4061866,2006-01-06,11.629331594692086,236.5736545548535,South_East
468,12,-9.215378,5.0863266,2006-01-06,10.525868608563929,241.1039808783661,South_East
469,13,-10.45168,4.052416,2006-01-06,11.20980331047142,248.80725996475883,East
470,14,-9.988958,4.5003023,2006-01-06,10.955911770233882,245.747116082938,East
471,15,-10.249043,4.4530497,2006-01-06,11.17463798279475,246.515803711031,East
472,16,-10.783664,3.6404252,2006-01-06,11.381568648551529,251.34598435268566,East
473,17,-10.798691,4.380882,2006-01-06,11.65349108256427,247.91827489182148,East
474,18,-10.348154,4.810356,2006-01-06,11.41156501337358,245.0685635391787,East
475,19,-10.1563835,5.0920324,2006-01-06,11.361378427009727,243.37251884625513,East
476,20,-11.606579,6.3035913,2006-01-06,13.207874142369645,241.4933929668204,South_East
477,21,-10.380619,6.216066400000001,2006-01-06,12.099451736023825,239.08620884391155,South_East
478,22,-10.251773,6.3311105,2006-01-06,12.049141455171785,238.30207770886543,South_East
479,23,-10.154236,5.711633999999999,2006-01-06,11.650376461456169,240.64277689311322,South_East
4272,0,-9.89918,5.679876999999999,2006-01-07,11.412921072518156,240.15398260408122,South_East
4273,1,-10.091422,5.716316,2006-01-07,11.597976831928058,240.4704863262363,South_East
4274,2,-9.778383,5.2833510000000015,2006-01-07,11.11443079441723,241.61723607846875,South_East
4275,3,-9.680611,5.464841000000002,2006-01-07,11.116596443543411,240.55466125313802,South_East
4276,4,-9.588194,5.5016937000000015,2006-01-07,11.054505766892326,240.1528501377495,South_East
4277,5,-9.070377,5.648501400000002,2006-01-07,10.685378186471969,238.0877591968393,South_East
4278,6,-9.457027,6.2572374,2006-01-07,11.339681633921112,236.50940515523223,South_East
4279,7,-10.277829,5.2295940000000005,2006-01-07,11.531800482061637,243.03196909113518,East
