,Time,U_mpers,V_mpers,date,ws_mpers_D3A3,ws_dir_degree_D3A3,dirn_D3A3
1752,0,-6.983927,0.84463197,2006-01-01,7.034816238259183,263.1041726669018,East
1753,1,-6.8932037,0.8426476999999999,2006-01-01,6.944516714358817,263.03055556252787,East
1754,2,-7.5906444,0.19465451,2006-01-01,7.593139850253959,268.5310287907516,East
1755,3,-7.5786505,0.23433667,2006-01-01,7.582272553532809,268.2289425185153,East
1756,4,-7.1423817,0.7330108,2006-01-01,7.179897017465607,264.1403440398359,East
1757,5,-6.4541764000000015,0.53832346,2006-01-01,6.476587461765907,265.2321669278852,East
1758,6,-6.233226999999999,-0.29501474,2006-01-01,6.240204526323337,272.70975131479474,East
1759,7,-5.559433,-0.45890337,2006-01-01,5.578340934766031,274.718781828755,East
1760,8,-5.521883,-0.5976556,2006-01-01,5.554132162804587,276.17730592854355,East
1761,9,-5.0812154000000005,-1.3080025,2006-01-01,5.246867682837391,284.435624436674,East
1762,10,-5.222521,-2.2702186,2006-01-01,5.694613076164786,293.4944808391307,North_East
1763,11,-4.707587999999999,-1.5156484,2006-01-01,4.945561125915496,287.8464088553317,East
1764,12,-4.365019,-2.226652,2006-01-01,4.900139793869661,297.02670961831257,North_East
1765,13,-5.1399336,-2.747168,2006-01-01,5.828022772144337,298.12340686694336,North_East
1766,14,-3.8594701,-4.837962,2006-01-01,6.188811337101658,321.418987021234,North_East
1767,15,-3.650665,-5.2253733,2006-01-01,6.374314164408426,325.06023490025984,North_East
1768,16,-3.4874897,-4.406677200000002,2006-01-01,5.6197320534529,321.6415455107317,North_East
1769,17,-4.9993744000000016,-4.4464726,2006-01-01,6.690654898731972,311.6500797403928,North_East
1770,18,-3.9283352,-4.481131,2006-01-01,5.9592241510720205,318.7609240673037,North_East
1771,19,-3.9303179,-5.924823,2006-01-01,7.10991746621502,326.441112558138,North_East
1772,20,-3.2838821000000005,-4.9144726,2006-01-01,5.910661771988917,326.2488998795659,North_East
1773,21,-3.2250876,-4.7502594,2006-01-01,5.741616009013676,325.8262902135226,North_East
1774,22,-2.5824165,-5.8357344000000015,2006-01-01,6.381588436025598,336.12975582551724,North_East
1775,23,-2.1021566000000003,-5.056771,2006-01-01,5.476312200501773,337.4267943154514,North_East
6672,0,-1.5417176,-5.167304,2006-01-02,5.392394995413982,343.3869931968218,North
