,Time,U_mpers,V_mpers,date,ws_mpers_D2A3,ws_dir_degree_D2A3,dirn_D2A3
6984,0,-6.714122,0.965505,2006-01-01,6.783187608780182,261.81684415401594,East
6985,1,-7.751152999999999,0.5392219,2006-01-01,7.769886298193081,266.02053474092776,East
6986,2,-7.904801400000001,0.089997806,2006-01-01,7.905313705257167,269.3477038314274,East
6987,3,-7.901335,0.20510885,2006-01-01,7.9039967372572555,268.5130066225153,East
6988,4,-7.6930356,0.77774286,2006-01-01,7.7322493945260415,264.22718219235196,East
6989,5,-7.316905499999999,0.5696262,2006-01-01,7.339044904049619,265.54846227774556,East
6990,6,-6.3896275000000005,0.10366029,2006-01-01,6.390468296179798,269.0705598812159,East
6991,7,-5.4212940000000005,0.1275356,2006-01-01,5.422793925985328,268.6523689610725,East
6992,8,-6.0381885,-0.18789189,2006-01-01,6.04111113321548,271.7823126357083,East
6993,9,-5.1671734,-1.6560636000000002,2006-01-01,5.42606925802763,287.7704990835483,East
6994,10,-4.691902,-1.5621231000000002,2006-01-01,4.945116071151173,288.4146774448389,East
6995,11,-5.27021,-1.7027618999999998,2006-01-01,5.538457504774376,287.9052219318424,East
6996,12,-4.501404,-2.008713,2006-01-01,4.929256119089877,294.0484087016232,North_East
6997,13,-4.7923985,-3.3210244,2006-01-01,5.830633451709823,304.72108890867275,North_East
6998,14,-3.942212,-5.3063536,2006-01-01,6.610478347379784,323.3904946780925,North_East
6999,15,-3.7712426,-5.421589,2006-01-01,6.604233341802495,325.17763012180865,North_East
7000,16,-3.464582,-4.6408963,2006-01-01,5.791480544910574,323.25744840818106,North_East
7001,17,-5.542353599999998,-4.277392400000001,2006-01-01,7.000983443132165,307.6596893533261,North_East
7002,18,-4.0910587,-4.7206,2006-01-01,6.246665162056127,319.08650376116645,North_East
7003,19,-3.5951214,-6.2883587,2006-01-01,7.243504194835787,330.2429382353345,North_East
7004,20,-3.3368697,-4.8806877,2006-01-01,5.912344020750939,325.6400356489004,North_East
7005,21,-3.1244361,-4.7890015,2006-01-01,5.71809726307497,326.87880263108246,North_East
7006,22,-2.581974,-5.7348695,2006-01-01,6.289301862584293,335.7615982649206,North_East
7007,23,-2.1443996,-5.093116,2006-01-01,5.526145151363305,337.1670175328185,North_East
