,Time,U_mpers,V_mpers,date,ws_mpers_D1A3,ws_dir_degree_D1A3,dirn_D1A3
7032,0,-7.187422,0.09310735,2006-01-01,7.188025040628895,269.2578201445418,East
7033,1,-7.839492,0.296251,2006-01-01,7.845087601363352,267.8358471428098,East
7034,2,-8.162813,0.29468232,2006-01-01,8.16813037008406,267.9324867252627,East
7035,3,-8.39205,0.35303065,2006-01-01,8.399472235940745,267.5911431375804,East
7036,4,-8.192350999999999,0.903175,2006-01-01,8.241986410315535,263.70876822397247,East
7037,5,-7.202422,0.6936526,2006-01-01,7.235747134579176,264.4989103882175,East
7038,6,-6.8178368,0.2733185,2006-01-01,6.823313098039434,267.7043135595429,East
7039,7,-6.394374,0.028374575,2006-01-01,6.394436954758599,269.745755765554,East
7040,8,-6.4993114,-0.6714524000000001,2006-01-01,6.533903657051864,275.8983767505373,East
7041,9,-5.1117306,-1.689776,2006-01-01,5.383784232039055,288.2922475253077,East
7042,10,-4.890255000000002,-1.5910176,2006-01-01,5.1425607403836056,288.0220128424585,East
7043,11,-5.166497,-1.9647186,2006-01-01,5.527459672235968,290.8208384871741,East
7044,12,-5.1783705,-2.5215921000000003,2006-01-01,5.759682956036093,295.96362862510114,North_East
7045,13,-4.3543944,-3.2315521,2006-01-01,5.422515981144341,306.5804338119947,North_East
7046,14,-3.9497685,-5.2451773,2006-01-01,6.566015238485784,323.01920719804576,North_East
7047,15,-3.4699507000000005,-5.5910497,2006-01-01,6.580303534663169,328.1751871721734,North_East
7048,16,-3.4465997,-4.5056925,2006-01-01,5.672769552572742,322.58605748986224,North_East
7049,17,-5.65882,-4.541308,2006-01-01,7.25573718813354,308.7476892861789,North_East
7050,18,-4.0593224,-4.3875103,2006-01-01,5.977319213472528,317.22501484542175,North_East
7051,19,-3.8340282,-6.135493299999999,2006-01-01,7.23491881590527,327.99901625664745,North_East
7052,20,-3.3688138,-4.9633102,2006-01-01,5.998612719662312,325.83356122268964,North_East
7053,21,-3.227189,-4.648455599999999,2006-01-01,5.658876947495179,325.2296962894576,North_East
7054,22,-2.7003963,-5.7000856,2006-01-01,6.307385831260131,334.65090351359294,North_East
7055,23,-2.1300597000000003,-5.0141554,2006-01-01,5.447835230705243,336.9837647146076,North_East
2040,0,-1.5810502,-5.1219144,2006-01-02,5.3603849540725514,342.84540871803165,North
2041,1,-1.4456519,-4.926939,2006-01-02,5.134650652741101,343.6473692087405,North
2042,2,-1.0546407,-4.951018,2006-01-02,5.062098995715166,347.9748756155842,North
2043,3,-0.15208507,-4.495436,2006-01-02,4.4980078588874095,358.0623658112791,North
2044,4,0.66957986,-3.452168,2006-01-02,3.516504100543837,10.97675069958899,North
2045,5,0.8860875,-2.2680137000000005,2006-01-02,2.4349614372806694,21.340029642210283,North
2046,6,-0.09565301,-2.3718624,2006-01-02,2.373790374665762,357.69061411005987,North
2047,7,0.41861475,-3.2027044,2006-01-02,3.229946405545597,7.446723481756081,North
2048,8,1.2547433,-4.8890476,2006-01-02,5.047491177204835,14.393944468917638,North
2049,9,1.7340055,-5.5836644,2006-01-02,5.846715591326263,17.252167692751414,North
2050,10,1.6309081,-5.390462,2006-01-02,5.6317796302846945,16.83342253798895,North
2051,11,2.0264359,-5.4574547,2006-01-02,5.821533669005179,20.370726950518048,North
2052,12,2.550002,-4.7757735,2006-01-02,5.4139193495383955,28.099780000465202,North_West
2053,13,2.9363952,-4.576741,2006-01-02,5.437736197321827,32.68385984777635,North_West
2054,14,2.8855486,-5.243482599999999,2006-01-02,5.985023015784042,28.824493073350965,North_West
