,Unnamed: 0,Time,U_mpers,Time.1,V_mpers,date
0,0,0,-4.538062,0,12.483173,2006-05-22
1,1,1,-6.5925016,1,13.408041,2006-05-22
2,2,2,-5.237727,2,14.781792,2006-05-22
3,3,3,2.3960726,3,10.3297415,2006-05-22
4,4,4,5.0493817000000005,4,13.916597,2006-05-22
5,5,5,7.420135,5,12.272238,2006-05-22
6,6,6,5.0974827000000005,6,12.681598,2006-05-22
7,7,7,7.0059586,7,11.865353,2006-05-22
8,8,8,6.1576014,8,10.300696,2006-05-22
9,9,9,5.365727400000001,9,10.815769,2006-05-22
10,10,10,4.109765,10,11.809807,2006-05-22
11,11,11,3.5858169,11,12.950411,2006-05-22
12,12,12,3.9994776,12,12.400011,2006-05-22
13,13,13,3.8641932,13,12.557468,2006-05-22
14,14,14,4.2264776,14,12.869726,2006-05-22
15,15,15,-0.23395689,15,10.459536,2006-05-22
16,16,16,1.2111246999999998,16,12.133064,2006-05-22
17,17,17,0.5594116,17,11.793148,2006-05-22
18,18,18,0.7245363,18,11.5018215,2006-05-22
19,19,19,0.1899513,19,12.899744,2006-05-22
20,20,20,-0.38246047,20,12.722818,2006-05-22
21,21,21,-0.29946074,21,11.73121,2006-05-22
22,22,22,2.6643891,22,12.552013,2006-05-22
23,23,23,4.377911599999999,23,11.344399,2006-05-22
0,0,0,4.5834312000000015,0,4.8417845,2006-11-23
1,1,1,2.401413,1,5.84175,2006-11-23
2,2,2,0.45416033,2,7.053688,2006-11-23
3,3,3,0.65624547,3,8.521513,2006-11-23
4,4,4,-1.2893579,4,8.507206,2006-11-23
5,5,5,-0.057821587,5,10.068703,2006-11-23
6,6,6,-0.031023312,6,12.294951,2006-11-23
7,7,7,-4.4657393,7,12.748913,2006-11-23
8,8,8,-4.390166000000002,8,13.401642,2006-11-23
9,9,9,-4.0495405,9,13.580328,2006-11-23
10,10,10,-6.769889999999998,10,13.604397,2006-11-23
11,11,11,-7.304600200000001,11,13.348015,2006-11-23
12,12,12,-6.313187,12,14.163216,2006-11-23
13,13,13,-2.9785101000000003,13,18.227478,2006-11-23
14,14,14,11.529135,14,12.069693,2006-11-23
15,15,15,13.301649,15,9.544544,2006-11-23
16,16,16,12.391408,16,9.496057,2006-11-23
17,17,17,14.193363,17,9.660122,2006-11-23
18,18,18,14.353037,18,10.730603,2006-11-23
19,19,19,12.671419,19,7.918801299999998,2006-11-23
20,20,20,8.820354,20,7.3607369999999985,2006-11-23
21,21,21,11.257129,21,10.555992,2006-11-23
22,22,22,10.354418,22,9.254165,2006-11-23
23,23,23,9.779364,23,9.517881,2006-11-23
0,0,0,7.9887857,0,-6.2028284000000005,2006-06-28
1,1,1,8.224871,1,-6.352444599999999,2006-06-28
2,2,2,8.831055000000003,2,-6.0385838,2006-06-28
3,3,3,7.879129400000001,3,-5.3364105,2006-06-28
4,4,4,7.7810006,4,-5.5670977,2006-06-28
5,5,5,7.060834,5,-5.2067513,2006-06-28
6,6,6,5.6251783,6,-4.7900686,2006-06-28
7,7,7,6.5000267,7,-3.7112203,2006-06-28
8,8,8,7.3209342999999985,8,-5.08902,2006-06-28
9,9,9,6.901465400000001,9,-4.5923615,2006-06-28
10,10,10,6.969533,10,-3.866269,2006-06-28
11,11,11,7.554524400000001,11,-4.6354017,2006-06-28
12,12,12,7.116291,12,-4.7927914000000005,2006-06-28
13,13,13,6.864449499999999,13,-4.4983373,2006-06-28
14,14,14,6.885153,14,-3.7903535,2006-06-28
15,15,15,6.484906,15,-3.920588,2006-06-28
16,16,16,6.1761694,16,-4.2117133,2006-06-28
17,17,17,6.6795300000000015,17,-3.326398,2006-06-28
18,18,18,6.8137360000000005,18,-3.619434,2006-06-28
19,19,19,6.2127633,19,-4.561508,2006-06-28
20,20,20,5.9489775,20,-2.2695305,2006-06-28
21,21,21,5.0643167,21,-3.4207833,2006-06-28
22,22,22,5.1187677,22,-3.7838178,2006-06-28
23,23,23,5.6029550000000015,23,-2.417306,2006-06-28
0,0,0,-10.265229,0,5.749575599999999,2006-03-09
1,1,1,-10.379328,1,5.4060574,2006-03-09
2,2,2,-10.7671795,2,5.151383,2006-03-09
3,3,3,-11.1316185,3,4.5836906,2006-03-09
4,4,4,-11.11277,4,4.240892400000001,2006-03-09
5,5,5,-11.392117,5,3.8430142,2006-03-09
6,6,6,-11.8514805,6,3.993395,2006-03-09
7,7,7,-11.691948,7,3.8222132000000006,2006-03-09
8,8,8,-11.106106,8,4.062664,2006-03-09
9,9,9,-11.15868,9,3.9646578,2006-03-09
10,10,10,-11.188801,10,3.8749352,2006-03-09
11,11,11,-11.354948,11,3.4509928,2006-03-09
12,12,12,-11.136593,12,3.912318,2006-03-09
13,13,13,-10.721828,13,3.6126633,2006-03-09
14,14,14,-10.613224,14,3.3995714,2006-03-09
15,15,15,-10.783556,15,4.1205463,2006-03-09
16,16,16,-11.545981,16,4.8195734,2006-03-09
17,17,17,-11.67231,17,4.06137,2006-03-09
18,18,18,-11.957762,18,4.2599754,2006-03-09
19,19,19,-12.095991,19,4.64946,2006-03-09
20,20,20,-11.985794,20,5.1202974,2006-03-09
21,21,21,-11.881795,21,5.394479799999999,2006-03-09
22,22,22,-12.359213,22,5.3288355,2006-03-09
23,23,23,-12.553192999999998,23,5.118232,2006-03-09
0,0,0,9.2151575,0,-6.2627354,2006-08-28
1,1,1,7.162429,1,-4.690054,2006-08-28
2,2,2,8.719727,2,-2.6505547000000003,2006-08-28
3,3,3,8.109312,3,-3.0567245,2006-08-28
4,4,4,10.373623,4,-4.764537000000002,2006-08-28
5,5,5,10.024215,5,-5.588373000000002,2006-08-28
6,6,6,9.087302,6,-5.6344376,2006-08-28
7,7,7,9.882166,7,-4.429253599999999,2006-08-28
8,8,8,8.518621000000001,8,-3.409474,2006-08-28
9,9,9,8.343336,9,-3.4492426,2006-08-28
10,10,10,8.590736,10,-5.864565,2006-08-28
11,11,11,5.637158,11,-5.010208,2006-08-28
12,12,12,7.774230499999999,12,-6.836952,2006-08-28
13,13,13,7.7901487,13,-6.220282,2006-08-28
14,14,14,7.500240299999999,14,-4.119927,2006-08-28
15,15,15,8.387936,15,-5.104807,2006-08-28
16,16,16,8.584881,16,-5.803207,2006-08-28
17,17,17,8.428207,17,-7.3273535,2006-08-28
18,18,18,8.856964,18,-5.268803,2006-08-28
19,19,19,8.023168,19,-6.84387,2006-08-28
