,Unnamed: 0,Time,U_mpers,Time.1,V_mpers,date
0,0,0,6.6820364,0,-2.5041761,2006-04-11
1,1,1,5.526742,1,-1.4356338,2006-04-11
2,2,2,5.8482647000000005,2,0.46291476,2006-04-11
3,3,3,7.374755,3,0.6815205,2006-04-11
4,4,4,7.8193655,4,1.4001777,2006-04-11
5,5,5,7.120512,5,2.6009684,2006-04-11
6,6,6,6.36347,6,3.8881721,2006-04-11
7,7,7,6.6295223,7,5.189824,2006-04-11
8,8,8,6.4250345,8,7.5081196,2006-04-11
9,9,9,6.8442965,9,8.574439,2006-04-11
10,10,10,6.5359573,10,9.109792,2006-04-11
11,11,11,6.175451,11,9.495045,2006-04-11
12,12,12,6.6224555999999986,12,9.411308,2006-04-11
13,13,13,5.524543,13,10.645837,2006-04-11
14,14,14,5.2528934000000005,14,11.839059,2006-04-11
15,15,15,5.8712153,15,13.209744,2006-04-11
16,16,16,8.67886,16,11.971329,2006-04-11
17,17,17,7.6660595,17,11.176506,2006-04-11
18,18,18,7.77537,18,11.372072,2006-04-11
19,19,19,6.4754343,19,12.902851,2006-04-11
20,20,20,5.5632415,20,11.630827,2006-04-11
21,21,21,7.37593,21,10.068457,2006-04-11
22,22,22,7.452141,22,9.226167,2006-04-11
23,23,23,5.478427,23,8.862778,2006-04-11
0,0,0,-8.937308999999997,0,-7.008951700000001,2006-01-26
1,1,1,-8.572481,1,-7.1147985,2006-01-26
2,2,2,-8.410738,2,-6.735258999999999,2006-01-26
3,3,3,-8.076839,3,-5.908508,2006-01-26
4,4,4,-7.690057,4,-5.4517527,2006-01-26
5,5,5,-7.237137,5,-5.5073843,2006-01-26
6,6,6,-6.7660737000000015,6,-5.655407,2006-01-26
7,7,7,-6.3914375,7,-5.880848,2006-01-26
8,8,8,-5.9823303,8,-6.3955727,2006-01-26
9,9,9,-5.670771599999999,9,-6.523356400000001,2006-01-26
10,10,10,-5.5828376,10,-6.5142975,2006-01-26
11,11,11,-5.706278,11,-6.5067987,2006-01-26
12,12,12,-5.8189983,12,-5.922809,2006-01-26
13,13,13,-5.66418,13,-5.219017,2006-01-26
14,14,14,-5.396326,14,-4.838707,2006-01-26
15,15,15,-5.215808,15,-4.3026247,2006-01-26
16,16,16,-4.7439356,16,-4.0557857,2006-01-26
17,17,17,-4.2287974,17,-4.1014786,2006-01-26
18,18,18,-3.4790397000000004,18,-4.489909,2006-01-26
19,19,19,-2.860298,19,-5.1327705,2006-01-26
20,20,20,-2.2619967,20,-5.159936,2006-01-26
21,21,21,-1.2618842,21,-4.2816095,2006-01-26
22,22,22,-0.7282628999999999,22,-3.5011589999999995,2006-01-26
23,23,23,0.09709194,23,-3.3438785,2006-01-26
0,0,0,3.786518,0,-6.0328364,2006-01-30
1,1,1,4.2366785999999985,1,-6.532447,2006-01-30
2,2,2,5.130309,2,-6.5057287000000015,2006-01-30
3,3,3,5.872857,3,-6.816304700000001,2006-01-30
4,4,4,6.201274,4,-7.140867,2006-01-30
5,5,5,5.440324,5,-7.7565227,2006-01-30
6,6,6,4.9702682000000005,6,-8.290255,2006-01-30
7,7,7,5.7520165,7,-7.4587264000000015,2006-01-30
8,8,8,5.3954086,8,-8.720794999999999,2006-01-30
9,9,9,5.2126455,9,-8.317374000000001,2006-01-30
10,10,10,5.5071154,10,-7.114167,2006-01-30
11,11,11,6.224661,11,-8.008878999999999,2006-01-30
12,12,12,6.211259,12,-8.160294,2006-01-30
13,13,13,6.66556,13,-7.9341984,2006-01-30
14,14,14,6.090289,14,-8.479588,2006-01-30
15,15,15,6.619459599999999,15,-8.763909,2006-01-30
16,16,16,6.600869,16,-9.245125,2006-01-30
17,17,17,6.234311,17,-8.706203,2006-01-30
18,18,18,5.758893,18,-8.752500999999999,2006-01-30
19,19,19,5.698119,19,-8.256236999999999,2006-01-30
20,20,20,5.972003,20,-7.4690065,2006-01-30
21,21,21,5.7294645,21,-7.454279,2006-01-30
22,22,22,5.9854484,22,-7.402185,2006-01-30
23,23,23,5.5957613,23,-7.1613703,2006-01-30
0,0,0,12.411882,0,1.8043313,2006-04-07
1,1,1,12.539311,1,1.5620191,2006-04-07
2,2,2,12.764444,2,0.78241336,2006-04-07
3,3,3,11.97156,3,0.9364344,2006-04-07
4,4,4,11.449542,4,1.652034,2006-04-07
5,5,5,12.599773,5,1.8699877,2006-04-07
6,6,6,13.296598,6,2.4550815,2006-04-07
7,7,7,13.148954000000002,7,3.3317766000000004,2006-04-07
8,8,8,13.00374,8,3.791535,2006-04-07
9,9,9,12.932217,9,4.1859264,2006-04-07
10,10,10,12.808203,10,4.6160625999999985,2006-04-07
11,11,11,12.571634,11,5.5896125,2006-04-07
12,12,12,12.492079,12,5.663372,2006-04-07
13,13,13,12.76412,13,6.459626,2006-04-07
14,14,14,11.7429695,14,6.0196238,2006-04-07
15,15,15,10.460598,15,7.3010259999999985,2006-04-07
16,16,16,10.029919,16,8.224755,2006-04-07
17,17,17,11.105131,17,8.878437,2006-04-07
18,18,18,10.955111,18,8.864408500000003,2006-04-07
19,19,19,9.1192255,19,9.90728,2006-04-07
